,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,Date
23,156115.551856954,221503.89222217703,97969.30848059055,174562.79547608763,1081.0244777887704,86286.18896413269,106443.37110616906,261655.77675036358,164825.03520049903,17/09/2021
24,139682.3358720115,160005.95229617058,116793.84063771996,159021.4337166903,0.0,81410.74331903776,56461.266412837496,171177.7774057984,175891.70596693875,19/11/2019
25,245889.60214506596,207312.05993156016,126458.54297126534,949133.1645917643,0.0,268609.45818258787,255772.6221652584,253972.12359985616,172369.89785469876,17/01/2020
26,248628.4714758897,217329.82390140736,100445.58793421039,310827.23518794624,26.948026455882744,113147.13478239148,110762.81225250635,159119.8581546736,177200.01638708825,13/12/2019
27,209067.02558621328,171415.072372941,160934.12293719585,316377.7215305881,0.0,310004.751395658,162287.57449810122,143769.38183865589,166496.40176224004,13/12/2019
28,250758.7031776415,163623.47817417097,153865.9077977373,256432.46903005562,537.926055933168,137064.4153054986,158276.6648622166,149981.17630123257,171256.1986095465,29/08/2019
29,269322.1508643359,212042.6706950991,132541.05463889465,599452.5250053249,0.0,149023.0555670522,186661.56382386168,211230.08170169307,155143.5380913926,12/07/2019
30,194764.04130302253,180319.75145724966,195049.07968172542,518970.47303701733,0.0,73775.61145973818,169075.26772805984,142254.6831889143,161794.66118982772,28/06/2019
31,230977.9802328033,150266.45954770804,145186.90893602118,79649.47901691121,0.0,86930.11574744711,231398.63283949794,178928.75049629435,156146.84864484475,21/06/2019
32,242846.41399970624,187833.07443463505,121193.44393881153,122665.74817238592,0.0,82238.64918329917,259783.53180114302,155992.5409424798,179849.34498789103,10/05/2019
33,207545.4315135334,181711.10756417288,145739.86454216932,940807.4350778016,5999.944470023797,118666.50721080083,132051.48647374017,287815.6934304464,160486.3507696782,26/04/2019
34,267191.91916258406,172249.88603709496,133671.00739928428,283074.8034747367,0.0,103948.18073504258,197151.63517925225,208142.54445403797,128432.74547601504,31/05/2019
35,152463.72608252233,112699.84466078103,136531.95162239845,88530.25716513825,0.0,96589.01749716346,137605.05366188812,168133.0801199542,148951.95902803502,08/11/2018
36,220935.4593531162,154162.25664709308,127179.78941406724,254489.79881013097,0.0,97508.91290189835,103358.05600164243,260098.23813881108,155721.64775829617,08/02/2019
37,220631.14053858022,89325.06206447088,258302.39271545148,896403.5443366664,0.0,81318.75377856429,98421.5518343998,107317.16433351071,146072.8584096935,01/02/2019
