,Date,Value
271,729181,206023.83744085356
272,731229,221239.77816765217
273,728872,181982.6510925117
274,731947,144551.43690458703
275,729390,153376.68252613026
276,731947,187764.70856869518
277,729390,167679.66680932097
278,730486,181982.6510925117
279,728659,164636.47866396126
280,728659,105902.9474585185
281,731509,129031.17736325243
282,729390,160680.33407499362
283,729390,183504.24516519153
284,730780,150942.13200984246
285,730851,166766.71036571305
286,729025,55994.66187461898
287,732677,57820.57476183482
288,728144,133900.278395828
289,729390,171027.1737692167
290,728294,175287.63717272028
291,726833,160680.33407499362
292,731138,186243.1144960153
293,727981,177722.18768900805
294,731117,97077.7018369753
295,727564,182895.6075361196
296,732622,152159.40726798636
297,732677,141812.56757376328
298,730437,198111.54826291825
299,730437,213936.1266187888
300,729755,124162.07633067686
301,730437,117467.06241088547
302,730437,197807.22944838228
303,730437,151550.7696389144
304,730437,120814.56937078117
305,731739,132378.68432314813
306,731216,152768.0448970583
307,729069,155506.91422788205
308,726951,197502.9106338463
309,727564,171635.81139828858
310,730437,143638.4804609791
311,731922,153376.68252613026
312,731216,195981.31656116643
313,730437,202372.01166642187
314,726963,188981.98382683904
315,730437,183199.92635065556
316,727644,132683.0031376841
317,731117,122944.80107253298
318,728649,215153.4018769327
319,730437,168592.6232529289
320,730564,204197.9245536377
321,730437,171635.81139828858
322,731509,141812.56757376328
323,732398,185330.15805240738
324,731274,111989.32374923796
325,730437,166158.07273664113
326,732398,146985.98742087482
327,730577,155811.23304241803
328,730437,129639.81499232438
329,729025,175287.63717272028
330,732289,145160.07453365898
331,730437,149116.21912262664
332,730437,114728.19308006171
333,729755,197198.59181931033
334,731117,146377.34979180287
335,730437,176809.23124540015
336,731117,255019.16658114514
337,726833,185634.47686694335
338,728787,145160.07453365898
339,731117,201154.73640827797
340,726833,201763.37403734992
341,729643,152768.0448970583
342,726727,131770.04669407618
343,731117,138160.74179933162
344,731825,166158.07273664113
345,728294,174374.68072911236
346,731117,196894.27300477435
347,731216,182591.28872158364
348,732312,181069.69464890377
349,730466,174374.68072911236
350,729390,234934.12482177094
351,729390,165549.43510756918
352,729025,156419.87067148997
353,731908,167071.02918024902
354,731908,160071.69644592167
355,731117,174678.99954364833
356,729755,88252.45621543209
357,728294,170722.85495468072
358,732160,153681.00134066623
359,727105,139986.65468654747
360,730189,173461.72428550443
361,732677,214849.08306239673
362,729390,94643.15132068751
363,731623,133595.95958129203
364,726833,207241.11269899743
365,731509,93425.87606254363
366,732312,155202.59541334608
367,732316,117162.7435963495
368,731947,91599.96317532778
369,729390,150637.8131953065
370,729390,213631.80780425284
371,729390,111076.36730563005
372,729390,84600.63044100042
373,731509,262931.4557590804
374,729390,110772.04849109407
