"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2016","2016","PC","Percentage","0","Units",,,1.095464,,
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2017","2017","PC","Percentage","0","Units",,,2.29142,,
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2018","2018","PC","Percentage","0","Units",,,1.865066,,
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2019","2019","PC","Percentage","0","Units",,,1.842972,"P","Provisional value"
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2020","2020","PC","Percentage","0","Units",,,-7.855256,"P","Provisional value"
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2021","2021","PC","Percentage","0","Units",,,6.963571,"P","Provisional value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1971","1971","PC","Percentage","0","Units",,,3.1327,"E","Estimated value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1972","1972","PC","Percentage","0","Units",,,4.300341,"E","Estimated value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1973","1973","PC","Percentage","0","Units",,,4.777487,"E","Estimated value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1974","1974","PC","Percentage","0","Units",,,0.890069,"E","Estimated value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1975","1975","PC","Percentage","0","Units",,,-0.866739,"E","Estimated value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1976","1976","PC","Percentage","0","Units",,,4.949258,"E","Estimated value"
